Variable,Bin,WoE,Coefficient,Points
Base,All customers,-,-2.6360458516729097,508.0
util_woe,0-10%,1.3570513261241801,-0.9376973674094201,92.0
util_woe,10-30%,0.7918562293959351,-0.9376973674094201,54.0
util_woe,30-60%,0.0006793071832348307,-0.9376973674094201,0.0
util_woe,60-100%,-1.150666324198478,-0.9376973674094201,-78.0
age_woe,18-25,-0.5620243951223791,-0.45853715126204264,-19.0
age_woe,26-35,-0.5579909438589764,-0.45853715126204264,-18.0
age_woe,36-45,-0.29961203666224273,-0.45853715126204264,-10.0
age_woe,46-55,-0.13734884606691575,-0.45853715126204264,-5.0
age_woe,56-65,0.3996259145677985,-0.45853715126204264,13.0
age_woe,66+,1.0637379266101181,-0.45853715126204264,35.0
income_woe,"(-0.001, 3400.0]",-0.3477720762080713,-0.48565620170183926,-12.0
income_woe,"(3400.0, 5400.0]",-0.009842631992419729,-0.48565620170183926,-0.0
income_woe,"(5400.0, 8250.0]",0.10270125059483373,-0.48565620170183926,4.0
income_woe,"(8250.0, 3008750.0]",0.3901983724647688,-0.48565620170183926,14.0
